full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
spring-projects/spring-authorization-server,5039,https://github.com/spring-projects/spring-authorization-server,2020-03-17T17:28:57Z,2025-09-06T01:24:51Z,6587,Java,5.47,30
Exrick/xpay,5030,https://github.com/Exrick/xpay,2017-12-12T16:11:19Z,2025-09-03T02:13:01Z,12147,Java,7.73,0
killbill/killbill,5023,https://github.com/killbill/killbill,2012-10-21T20:55:05Z,2025-09-03T22:00:09Z,681617,Java,12.88,30
yipianfengye/android-zxingLibrary,5016,https://github.com/yipianfengye/android-zxingLibrary,2016-07-26T08:00:18Z,2025-09-05T09:14:19Z,10170,Java,9.11,0
Trinea/android-common,5015,https://github.com/Trinea/android-common,2012-06-19T07:49:46Z,2025-09-03T08:23:32Z,1253,Java,13.22,1
youlookwhat/DesignPattern,5013,https://github.com/youlookwhat/DesignPattern,2016-10-21T10:59:32Z,2025-09-06T07:24:26Z,4512,Java,8.88,0
jankotek/mapdb,5011,https://github.com/jankotek/mapdb,2012-08-17T15:28:54Z,2025-09-05T05:56:37Z,10247,Java,13.05,0
tianshiyeben/wgcloud,5008,https://github.com/tianshiyeben/wgcloud,2019-01-15T02:02:21Z,2025-09-06T02:58:27Z,48558,Java,6.64,29
rubensousa/GravitySnapHelper,5004,https://github.com/rubensousa/GravitySnapHelper,2016-08-31T07:25:23Z,2025-09-06T20:58:39Z,83050,Java,9.02,14
2227324689/gpmall,5000,https://github.com/2227324689/gpmall,2019-07-18T14:09:22Z,2025-09-03T06:20:17Z,56925,Java,6.14,0
line/armeria,4997,https://github.com/line/armeria,2015-11-16T04:04:01Z,2025-09-05T10:07:36Z,277950,Java,9.81,30
youlookwhat/CloudReader,4995,https://github.com/youlookwhat/CloudReader,2016-11-20T11:59:25Z,2025-08-28T08:22:49Z,95448,Java,8.79,26
DingMouRen/LayoutManagerGroup,4993,https://github.com/DingMouRen/LayoutManagerGroup,2018-04-28T11:47:38Z,2025-09-04T07:20:39Z,45688,Java,7.36,0
orhanobut/dialogplus,4990,https://github.com/orhanobut/dialogplus,2014-12-12T09:24:44Z,2025-09-03T03:20:57Z,6790,Java,10.74,9
spring-attic/spring-mvc-showcase,4988,https://github.com/spring-attic/spring-mvc-showcase,2011-06-03T15:36:55Z,2025-09-03T02:10:25Z,765,Java,14.26,0
alibaba/UltraViewPager,4985,https://github.com/alibaba/UltraViewPager,2017-03-29T13:31:53Z,2025-08-30T18:02:39Z,8873,Java,8.44,10
apache/ignite,4981,https://github.com/apache/ignite,2015-02-19T08:00:05Z,2025-09-06T21:40:18Z,467527,Java,10.55,0
JodaOrg/joda-time,4976,https://github.com/JodaOrg/joda-time,2011-05-16T16:49:57Z,2025-09-04T15:08:53Z,12937,Java,14.31,30
