repo,CBO_media,CBO_mediana,CBO_std,DIT_media,DIT_mediana,DIT_std,LCOM_media,LCOM_mediana,LCOM_std,LOC_total
lihengming_spring-boot-api-project-seed,5.0,4.0,4.675162334843877,1.2666666666666666,1.0,0.7988086367179803,9.733333333333333,0.0,18.671853021007184,484
xuchengsheng_spring-reading,2.8137931034482757,3.0,2.1788102111667396,1.0275862068965518,1.0,0.16406714745748444,0.5413793103448276,0.0,3.204669737355475,3078
perwendel_spark,4.542986425339366,3.0,4.73422818369261,1.2986425339366516,1.0,0.781285632671563,47.11764705882353,0.0,408.47211399854285,9588
ksoichiro_Android-ObservableScrollView,5.014925373134329,3.0,4.606336878748876,1.9671641791044776,2.0,1.1667022027281624,7.570149253731343,0.0,30.684999040986156,12621
koral--_android-gif-drawable,6.15625,4.0,6.372606927123236,1.65625,1.0,1.28753178416616,59.734375,0.0,286.65992473730404,2920
bilibili_DanmakuFlameMaster,5.162790697674419,3.0,6.120353284754513,1.6104651162790697,1.0,1.3741582490793598,47.50581395348837,1.0,158.937609484635,12879
spinnaker_spinnaker,6.606328182487123,5.0,6.892636669895596,1.5630365464802551,1.0,1.1496670103342725,14.29188128525877,0.0,216.2389480064234,235403
liaohuqiu_android-Ultra-Pull-To-Refresh,4.0186335403726705,2.0,4.316352698878767,1.4037267080745341,1.0,0.7191912296772817,19.142857142857142,0.0,138.95646157802707,5476
MyCATApache_Mycat-Server,4.9279628195197525,3.0,6.2489875485203425,1.2943454686289697,1.0,0.7207601079916163,78.48799380325329,0.0,882.9322274481729,92943
umano_AndroidSlidingUpPanel,4.9411764705882355,2.0,6.637682090113367,1.3529411764705883,1.0,0.7859052479933758,132.0,0.0,373.94067042781,2011
crossoverJie_cim,4.881188118811881,4.0,4.863893018742146,1.2821782178217822,1.0,0.7428459513141824,5.737623762376238,0.0,16.73722785635221,5622
pockethub_PocketHub,6.5754716981132075,5.0,5.341331486748215,1.4811320754716981,1.0,0.7632697444891576,9.04245283018868,0.0,35.25174312012447,6980
apache_cassandra,6.813720066387418,5.0,8.032182827246833,1.7685133960325614,1.0,1.8536600612268916,59.1496878210701,1.0,1395.566346272659,743834
